#time	prediction	observation
1205	-5.21876	-5.317070110926473
1206	-5.21641	-5.317070110926473
1207	-5.21401	-5.317070110926473
1208	-5.21392	-5.317070110926473
1209	-5.25303	-5.317070110926473
1210	-5.25578	-5.317070110926473
1211	-5.32484	-5.074595076371907
1212	-5.32371	-5.074595076371907
1213	-5.32613	-5.074595076371907
1214	-5.33218	-5.074595076371907
1215	-5.332	-5.074595076371907
1216	-5.33026	-5.074595076371907
1217	-5.55629	-5.074595076371907
1218	-5.55596	-5.074595076371907
1219	-5.55555	-5.074595076371907
1220	-5.55715	-5.074595076371907
1221	-5.55716	-5.074595076371907
1222	-5.60998	-5.074595076371907
1223	-5.61597	-5.074595076371907
1224	-5.61849	-5.074595076371907
1225	-5.6193	-5.074595076371907
1226	-5.61715	-5.074595076371907
1227	-5.43196	-5.074595076371907
1228	-5.4277	-5.074595076371907
1229	-5.42386	-5.074595076371907
1230	-5.42148	-5.074595076371907
1231	-5.41637	-5.074595076371907
1232	-5.41429	-5.074595076371907
1233	-5.43093	-5.074595076371907
1234	-5.42844	-5.074595076371907
1235	-5.34641	-5.788105576699013
1236	-5.34943	-5.788105576699013
1237	-5.35292	-5.788105576699013
1238	-5.36047	-5.788105576699013
1239	-5.36421	-5.788105576699013
1240	-5.36794	-5.8260856601985935
1241	-5.37167	-5.8260856601985935
1242	-5.37775	-5.8260856601985935
1243	-5.38108	-5.86687642459738
1244	-5.3878	-6.1798708194379
1245	-5.39548	-6.1798708194379
1246	-5.41481	-6.1798708194379
1247	-5.42758	-6.1798708194379
1248	-5.43633	-6.1798708194379
1249	-5.44362	-6.1798708194379
1250	-5.44964	-6.1798708194379
1251	-5.45418	-6.1798708194379
1252	-5.45625	-6.1798708194379
1253	-5.45562	-6.1798708194379
1254	-5.45686	-6.1798708194379
1255	-5.46193	-6.1798708194379
1256	-5.4672	-6.1798708194379
1257	-5.47376	-6.1798708194379
1258	-5.48358	-6.1798708194379
1259	-5.77387	-6.2695407399542304
1260	-5.78053	-6.2120580302620585
1261	-5.78737	-5.9054589985431605
1262	-5.79539	-5.9054589985431605
1264	-5.77287	-5.9054589985431605
1265	-5.83244	-5.9054589985431605
1266	-5.83914	-5.9054589985431605
1267	-5.86119	-5.9054589985431605
1268	-5.99255	-5.9054589985431605
1269	-5.99571	-5.9054589985431605
1270	-6.00413	-5.9054589985431605
1271	-6.01217	-5.9054589985431605
1272	-6.01464	-5.9054589985431605
1273	-6.02024	-5.9054589985431605
1274	-6.0227	-5.9054589985431605
1275	-6.02551	-5.9054589985431605
1276	-6.027	-5.9054589985431605
1277	-6.03002	-5.9054589985431605
1278	-6.02617	-5.9054589985431605
1279	-6.03907	-5.9054589985431605
1280	-6.05153	-4.449881763730359
1281	-6.05068	-4.449881763730359
1282	-6.05545	-4.449881763730359
1283	-6.19107	-4.449881763730359
1284	-6.18228	-4.449881763730359
1285	-6.06584	-4.449881763730359
1286	-6.07004	-4.449881763730359
1287	-6.07885	-4.449881763730359
1288	-6.08945	-4.449881763730359
1289	-6.09418	-4.449881763730359
1290	-6.09606	-4.449881763730359
1291	-6.11791	-4.449881763730359
1292	-6.11725	-4.449881763730359
1293	-6.11934	-4.449881763730359
1294	-6.12419	-4.449881763730359
1295	-6.13273	-4.449881763730359
1296	-6.1364	-4.449881763730359
1297	-6.14118	-4.449881763730359
1298	-6.14452	-4.449881763730359
1299	-6.15052	-4.449881763730359
1300	-6.15182	-4.449881763730359
1301	-6.15441	-4.449881763730359
1302	-6.15146	-4.449881763730359
1303	-6.14424	-4.449881763730359
1304	-5.44591	-5.197623134403053
1305	-5.45212	-5.555877100587081
1306	-5.4497	-5.555877100587081
1307	-5.45694	-5.555877100587081
1308	-5.47282	-5.555877100587081
1309	-5.47869	-5.555877100587081
1310	-5.48308	-5.555877100587081
1311	-5.47933	-5.555877100587081
1312	-5.48907	-5.555877100587081
1313	-5.51329	-5.555877100587081
1315	-5.50109	-5.555877100587081
1316	-5.50787	-5.7577319551723125
1317	-5.50069	-5.7577319551723125
1318	-5.49332	-5.7577319551723125
1319	-5.48621	-5.7577319551723125
1320	-5.49243	-5.7577319551723125
1321	-5.49436	-5.7577319551723125
1322	-5.48762	-5.7577319551723125
1323	-5.48975	-5.7577319551723125
1324	-5.48838	-5.7577319551723125
1325	-5.48439	-5.7577319551723125
1326	-5.4752	-5.928007592875823
1327	-5.4682	-5.928007592875823
1328	-5.73622	-5.928007592875823
1329	-5.86758	-5.860215335706299
1330	-5.86446	-5.860215335706299
1331	-5.86256	-5.860215335706299
1332	-5.8554	-5.860215335706299
1333	-5.8419	-5.860215335706299
1334	-5.83473	-5.860215335706299
1335	-5.83225	-5.860215335706299
1336	-5.82737	-5.860215335706299
1337	-5.82053	-5.860215335706299
1338	-5.81515	-5.860215335706299
1339	-5.80948	-5.860215335706299
1340	-5.88443	-5.860215335706299
1341	-5.88202	-5.860215335706299
1342	-5.88158	-5.860215335706299
1343	-5.86782	-5.860215335706299
1512	-5.57206	-5.5343049257374295
1513	-5.57345	-5.5343049257374295
1514	-5.56455	-5.5343049257374295
1515	-5.5615	-5.5343049257374295
1516	-5.55632	-5.4201135563425655
1519	-5.54013	-5.4201135563425655
1520	-5.53733	-5.4201135563425655
1521	-5.53626	-5.4201135563425655
1522	-5.53691	-5.4201135563425655
1523	-5.53799	-5.116906641424309
1524	-5.5386	-5.116906641424309
1525	-5.53911	-5.116906641424309
1526	-5.5387	-5.116906641424309
1527	-5.59202	-5.03284062907772
1528	-5.58974	-5.03284062907772
1529	-5.58831	-5.03284062907772
1530	-5.58677	-5.03284062907772
1531	-5.58579	-5.03284062907772
1532	-5.58652	-5.03284062907772
1533	-5.6038	-5.03284062907772
1534	-5.54603	-5.03284062907772
1535	-5.55029	-5.03284062907772
1536	-5.55399	-5.03284062907772
1537	-5.55466	-5.03284062907772
1538	-5.55471	-5.03284062907772
1539	-5.55193	-5.03284062907772
1540	-5.48116	-5.03284062907772
1543	-5.46923	-5.03284062907772
1544	-5.46942	-4.78839895585476
1545	-5.47274	-4.78839895585476
1546	-5.47542	-4.726165681999441
1547	-5.29863	-4.726165681999441
1548	-5.30048	-4.726165681999441
1549	-5.30207	-4.726165681999441
1550	-5.29873	-4.726165681999441
1551	-5.24387	-4.701190573470415
1552	-5.2389	-4.701190573470415
1553	-5.23526	-4.701190573470415
1554	-5.23445	-4.701190573470415
1555	-5.23531	-4.701190573470415
1556	-5.24027	-4.577114822169164
1557	-5.24473	-4.428151471257098
1558	-5.25108	-4.428151471257098
1559	-5.25693	-4.428151471257098
1560	-5.26285	-4.428151471257098
1561	-5.26496	-4.428151471257098
1562	-5.26282	-4.428151471257098
1563	-5.2617	-4.428151471257098
1564	-5.25857	-4.428151471257098
1567	-5.24828	-4.428151471257098
1568	-5.10557	-4.428151471257098
1569	-5.10513	-4.428151471257098
1570	-5.07072	-4.428151471257098
1571	-5.07113	-4.265624274428215
1572	-5.07506	-4.265624274428215
1573	-5.07482	-4.265624274428215
1574	-5.07668	-4.265624274428215
1575	-5.0609	-4.265624274428215
1576	-5.05623	-4.265624274428215
1577	-5.05096	-4.265624274428215
1578	-5.0474	-4.265624274428215
1579	-5.04164	-4.265624274428215
1580	-4.96999	-4.265624274428215
1581	-4.8909	-4.265624274428215
1582	-4.88706	-4.265624274428215
1583	-4.89011	-4.265624274428215
1584	-4.89091	-4.265624274428215
1585	-4.88781	-4.265624274428215
1586	-4.88079	-4.265624274428215
1587	-4.87115	-4.265624274428215
1588	-4.86148	-4.265624274428215
1591	-4.83747	-4.265624274428215
1592	-4.83234	-4.265624274428215
1593	-4.83061	-4.265624274428215
1594	-4.83159	-4.265624274428215
1595	-4.75407	-4.350110455631078
1596	-4.75288	-4.350110455631078
1597	-4.7525	-4.350110455631078
1598	-4.74966	-4.350110455631078
1599	-4.75026	-4.350110455631078
1600	-4.75189	-4.350110455631078
1601	-4.76175	-4.350110455631078
1602	-4.8202	-4.350110455631078
1603	-4.87924	-4.745766217349853
1604	-4.89791	-4.745766217349853
1605	-4.89856	-4.745766217349853
1606	-4.90023	-4.745766217349853
1607	-4.91162	-4.745766217349853
1608	-4.91971	-3.8012604598955835
1609	-4.92607	-3.8012604598955835
1610	-4.92085	-3.8012604598955835
1611	-4.90612	-3.8012604598955835
1612	-4.90075	-3.8012604598955835
1615	-4.87443	-3.8012604598955835
1616	-4.86406	-3.8012604598955835
1617	-4.85381	-3.8012604598955835
1618	-4.84243	-3.8012604598955835
1619	-4.84766	-3.8012604598955835
1620	-4.82107	-3.8012604598955835
1621	-4.81144	-3.8012604598955835
1622	-4.81274	-3.8012604598955835
1623	-4.8079	-3.8012604598955835
1624	-4.80101	-3.8012604598955835
1625	-4.79761	-3.8012604598955835
1626	-4.79984	-3.8012604598955835
1627	-4.9441	-3.8012604598955835
1628	-4.94884	-3.8012604598955835
1629	-4.95313	-3.8012604598955835
1630	-4.96321	-3.8012604598955835
1631	-4.97162	-3.8012604598955835
1632	-4.62594	-4.943628820524471
1633	-4.63045	-4.943628820524471
1634	-4.62995	-4.943628820524471
1635	-4.62822	-4.943628820524471
1636	-4.62614	-4.943628820524471
1637	-4.61703	-4.943628820524471
1638	-4.61123	-4.943628820524471
1639	-4.60553	-4.943628820524471
1640	-4.6054	-4.943628820524471
1641	-4.60418	-4.943628820524471
1642	-4.60164	-4.943628820524471
1643	-4.60478	-4.943628820524471
1644	-4.60498	-4.943628820524471
1645	-4.60554	-4.943628820524471
1646	-4.60329	-4.943628820524471
1647	-4.60148	-4.943628820524471
1648	-4.59764	-4.943628820524471
1649	-4.59535	-4.943628820524471
1650	-4.59145	-4.943628820524471
1651	-4.59044	-4.943628820524471
1652	-4.59462	-4.943628820524471
1653	-4.59891	-4.943628820524471
1654	-4.6045	-4.943628820524471
1655	-4.61629	-5.255558364930598
1656	-5.02965	-5.255558364930598
1657	-5.04489	-5.255558364930598
1658	-5.07915	-5.255558364930598
1659	-5.10822	-5.255558364930598
1660	-5.12562	-5.255558364930598
1661	-5.11374	-4.866780543267505
1662	-5.10117	-4.866780543267505
1663	-5.09574	-4.866780543267505
1664	-5.10143	-4.866780543267505
1666	-5.10671	-4.866780543267505
1667	-5.10962	-4.866780543267505
1668	-5.09756	-4.866780543267505
1669	-5.07134	-4.866780543267505
1670	-5.06649	-4.866780543267505
1671	-5.04705	-4.866780543267505
1672	-5.03457	-4.866780543267505
1673	-5.02412	-4.866780543267505
1674	-5.01456	-4.866780543267505
1675	-5.00303	-4.866780543267505
1676	-4.99839	-4.866780543267505
1677	-5.00301	-4.866780543267505
1678	-5.02146	-4.866780543267505
1679	-5.16003	-4.866780543267505
1848	-6.07302	-6.435227446070712
1849	-6.07466	-6.435227446070712
1850	-6.0989	-6.435227446070712
1851	-6.11111	-6.321235863442112
1852	-6.12952	-6.321235863442112
1853	-6.23345	-6.321235863442112
1854	-6.23046	-6.321235863442112
1856	-6.28771	-6.143506743554134
1857	-6.23231	-6.143506743554134
1858	-6.23653	-6.143506743554134
1860	-6.30185	-6.143506743554134
1861	-6.30246	-6.143506743554134
1862	-6.30182	-6.143506743554134
1863	-6.30265	-6.143506743554134
1864	-6.30209	-6.143506743554134
1865	-6.27636	-6.143506743554134
1866	-6.27938	-6.143506743554134
1867	-6.28283	-6.143506743554134
1868	-6.28513	-6.143506743554134
1869	-6.23622	-6.143506743554134
1870	-6.24571	-6.143506743554134
1871	-6.25829	-6.143506743554134
1872	-6.26622	-6.143506743554134
1873	-6.26858	-6.143506743554134
1874	-6.28118	-6.143506743554134
1875	-6.23966	-6.143506743554134
1876	-6.24334	-6.143506743554134
1877	-6.25138	-6.143506743554134
1878	-6.24286	-6.143506743554134
1880	-6.19114	-6.1798708194379
1881	-6.14591	-6.1798708194379
1882	-6.14836	-5.9299621333922445
1883	-6.15005	-5.9299621333922445
1884	-6.15353	-5.554644925935531
1885	-6.1585	-5.554644925935531
1886	-6.16133	-5.554644925935531
1887	-6.1633	-5.554644925935531
1888	-6.16436	-5.554644925935531
1889	-6.16645	-5.401340785971871
1890	-6.16889	-5.372736583431778
1891	-6.17354	-5.372736583431778
1892	-6.17772	-5.372736583431778
1893	-6.18304	-5.372736583431778
1894	-6.18786	-5.372736583431778
1895	-6.19214	-5.372736583431778
1896	-6.19511	-5.372736583431778
1897	-6.19926	-5.372736583431778
1898	-6.20112	-5.372736583431778
1899	-6.20215	-5.372736583431778
1900	-6.20182	-5.372736583431778
1901	-6.19977	-5.372736583431778
1902	-6.19894	-5.372736583431778
1904	-6.25944	-5.372736583431778
1905	-6.21111	-5.372736583431778
